ID,标题,年份,副标题（国家/类型/导演/演员）,评分,海报,评分人数
3902408,黎巴嫩 לבנון,2009,"  以色列,德国,法国,黎巴嫩 / 剧情,战争 / 塞缪尔·毛茨 / Yoav Donat,伊泰·提伦,奥斯瑞·科恩,迈克尔·穆索诺夫,佐贺·史塔斯,Dudu Tassa,阿什拉夫·巴姆,Fares Hananya,雷曼德·阿萨雷米,Byan Anteer,Aisha,Fatima,Khaled Salam,Iad Abu Nama,Hussein Mahagna,大卫·沃尔切克,阿卜杜拉·埃尔·阿卡尔,盖·卡普尼克 ",7.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1580504468.jpg,6915
1296317,恶魔 Il Diavolo,1963,"  意大利 / 喜剧 / 吉安·卢基·兰迪 / 阿尔贝托·索尔迪,Ulla Andersson,Inger Auer ",,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565778446.jpg,0
1963866,轮椅 El Cochecito,1960,"  西班牙 / 剧情,喜剧 / 马可·费雷里 / 何塞·伊斯贝尔特 José Isbert,Pedro Porcel,José Luis López Vázquez ",7.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2545325721.jpg,78
1296385,格里罗侯爵 Il marchese del Grillo,1981,"  意大利,法国 / 喜剧 / 马里奥·莫尼切利 / 阿尔贝托·索尔迪,Caroline Berg,Andrea Bevilacqua ",7.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2390317562.jpg,185
2244169,绅士现形记 Signore & signori,1966,"  意大利,法国 / 喜剧 / 皮亚托·杰米 / 维尔娜·丽丝,加斯通·莫辛,诺拉·里奇,阿尔贝托·廖内洛,奥尔加·维利 ",8.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2454445044.jpg,459
1299163,圣洛伦佐之夜 La notte di San Lorenzo,1982,"  意大利 / 剧情,历史,战争 / 保罗·塔维亚尼,维托里奥·塔维亚尼 / Omero Antonutti,Margarita Lozano,克劳迪奥·比加利 ",7.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558197320.jpg,285
1296591,纳粹狂魔 La caduta degli dei (Götterdämmerung),1969,"  意大利,西德 / 剧情,战争 / 卢基诺·维斯康蒂 / 德克·博加德,英格丽·图林,赫尔穆特·格里姆,赫尔穆特·贝格,雷诺·韦尔莱,翁贝托·奥尔西尼,赖因哈德·科尔德霍夫,阿尔布雷希特·舍恩哈尔斯,弗洛琳达·布尔康,诺拉·里奇,夏洛特·兰普林,伊琳娜·万卡,Karin Mittendorf,Valentina Ricci,Wolfgang Hillinger,彼得·戴恩,卡尔-奥托·阿伯提,约翰·佛雷德里克,克劳斯·赫内,恩斯特·库尔,埃丝特尔·卡洛尼,杰西卡·杜布林,皮耶罗·莫尔贾,阿尔·克里弗 ",7.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2222161029.jpg,1428
1308695,战火赤子心 A Midnight Clear,1992,"  美国 / 剧情,战争 / 基斯·戈登 / 彼得·博格,凯文·狄龙,阿尔耶·格罗斯,伊桑·霍克,加里·西尼斯 ",7.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2517664574.jpg,342
1963195,荒唐军令 Karaula,2006,"  克罗地亚,塞尔维亚,英国,斯洛文尼亚,北马其顿,波黑,匈牙利,奥地利 / 剧情,喜剧 / 拉伊科·格尔利奇 / Toni Gojanovic,谢尔盖·特里富诺维奇,埃米尔·哈齐哈夫茨比哥维奇 ",7.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2867129915.jpg,186
1308057,白色战争 하얀전쟁,1992,"  韩国 / 战争 / 郑智泳 / 安圣基,沈惠珍,金世俊,李璟荣,许峻豪,金宝城 ",7.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2632451234.jpg,135
1293089,晴空血战史 Twelve O'Clock High,1949,"  美国 / 剧情,战争 / 亨利·金 / 格利高里·派克,休·马洛威,加里·梅里尔,米勒德·米切尔,迪恩·贾格尔,罗伯特·亚瑟,保罗·斯图尔特,约翰·凯洛格,罗伯特·帕滕,Lee MacGregor,Sam Edwards,Roger Anderson ",7.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1184992183.jpg,1365
1300851,迷失的巡逻兵 The Lost Patrol,1934,"  美国 / 战争,冒险 / 约翰·福特 / 维克托·麦克拉格伦,波利斯·卡洛夫,华莱士·福特,莱吉纳德·戴尼,J·M·克里根,比利·贝文,艾伦·海尔,布兰登·赫斯特,道格拉斯·沃尔顿,萨米·斯坦,Howard Wilson,Paul Hanson,Abdullah Abbas,弗兰克·贝克,Neville Clark,弗朗西斯·福特 ",6.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2511539741.jpg,56
3130765,观光 Turneja,2008,"  塞尔维亚,波黑,克罗地亚,斯洛文尼亚 / 喜剧,动作,战争,冒险 / 戈兰·马克维奇 / 蒂赫米尔·斯塔尼克,Jelena Djokic,德拉甘·尼柯立克,米拉·福兰 ",7.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2868894210.jpg,42
2997388,仁慈之心 Życie za życie,1991,"  波兰,德国 / 剧情,传记 / 克日什托夫·扎努西 / 爱德华·曾塔拉,克里斯托弗·瓦尔兹,阿图尔·巴奇斯 ",7.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2504984299.jpg,119
1875166,雪绒花海盗 Edelweißpiraten,2004,"  德国/瑞士/荷兰/卢森堡 / 剧情,历史,战争 / 尼克·冯·格拉索 / Ivan Stebunov,Bela B. Felsenheimer,约亨·尼克尔,安娜·塔巴赫,简·德克莱尔,Simon Taal,Jean Jülich ",7.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2255172128.jpg,172
1323747,第九日 Der neunte Tag,2004,"  德国/卢森堡/捷克 / 剧情,惊悚,战争 / 沃尔克·施隆多夫 / 乌尔里希·马特斯,奥古斯特·迪赫,毕碧安娜·贝格 ",7.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2454930067.jpg,3434
2128967,死亡终点站 Der letzte Zug,2006,"  德国,捷克 / 剧情,战争 / 约瑟夫·维尔斯麦尔,达娜·瓦罗娃 / 哥德昂·布克哈德,拉莱·亚瓦什,莉娜·比叶琳,西贝尔·凯基莉,Roman Roth,布里吉特·格罗瑟姆,Hans-Jürgen Silbermann,Sharon Brauner,朱拉什·库库拉,路德韦格·布洛克伯格,沃依特赫·科特克,琼戈尔·考绍伊,Magdalena Sidonová,尼娜·蒂维斯科娃,斯坦尼斯拉夫·辛杜卡 ",7.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2336664257.jpg,691
2172644,高贵的夫妇 the aryan couple,2004,"  英国,美国 / 剧情,战争 / 约翰·戴利 John Daly / 马丁·兰道 Martin Landau,朱迪·帕瑞福特 Judy Parfitt,斯蒂文·麦金托什 Steven Mackintosh ",,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2323765825.jpg,0
1306560,劫后余生 La tregua,1997,"  意大利,法国,德国,瑞士 / 剧情,历史,战争 / 弗朗西斯科·罗西 / 约翰·特托罗,拉德·舍博德兹加,Massimo Ghini ",7.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554907174.jpg,286
1438616,白玫瑰 Die weiße Rose,1982,"  西德 / 剧情,传记,历史,战争,犯罪 / 米夏埃尔·费尔赫芬 / 莱娜·施托尔策,Wulf Kessler,Oliver Siebert,乌尔里希·图库尔 ",7.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2208567238.jpg,312
1428422,阴谋 Conspiracy,2001,"  美国,英国 / 剧情,历史,战争 / 弗兰克·皮尔森 / 肯尼思·布拉纳,斯坦利·图齐,科林·费尔斯,Barnaby Kay,Ben Daniels ",8.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2203673396.jpg,5732
30192401,气球 Ballon,2018,"  德国 / 剧情,惊悚,历史 / 米夏埃尔·赫尔比希 / 弗莱德里奇·穆克,卡罗利妮·舒赫,大卫·克劳斯,艾丽西娅·冯·里特贝格,托马斯·克莱舒曼,乔纳斯·霍登里德尔,蒂尔曼·多布勒,克里斯蒂安·内特,罗纳德·库克利斯,塞巴斯蒂安·胡克,乌尔里奇·布兰德霍夫,柏恩德·麦克·莱德,凯·伊沃·保利兹,贝恩德·斯特格曼,安婕·特拉乌 ",8.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2586729373.jpg,53503
1316627,极地重生 So weit die Füße tragen,2001,"  德国 / 剧情,战争 / 哈迪·马汀斯 / 迈克尔·门德尔 ",8.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2642856425.jpg,10849
3660130,12勇士 12 Strong,2018,"  美国 / 剧情,动作,历史,战争 / 尼科莱·弗格西格 / 克里斯·海姆斯沃斯,迈克尔·珊农,迈克尔·佩纳,纳维德·内加班,崔凡特·罗兹,吉欧夫·斯图兹,萨德·拉金比尔,奥斯汀·赫伯特,奥斯汀·斯托维尔,本·奥图尔,肯尼斯·米勒,肯尼·谢尔德,杰克·凯西,罗伯·里格尔,威廉·菲克纳,阿希亚·曼达维,埃尔莎·帕塔奇,玛丽·瓦根曼,劳伦·迈尔斯,阿利森·金,莱斯·纳克里,法希姆·法兹利,纽曼·阿卡,塞斯·艾德金斯,泰勒·谢里丹 ",6.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2507606416.jpg,22511
6430835,猎杀本·拉登 Zero Dark Thirty,2012,"  美国 / 剧情,惊悚,历史 / 凯瑟琳·毕格罗 / 杰西卡·查斯坦,杰森·克拉克,乔尔·埃哲顿,詹妮弗·艾莉,马克·斯特朗,凯尔·钱德勒,埃德加·拉米雷兹,詹姆斯·甘多菲尼,克里斯·帕拉特,卡兰·马尔韦,泰勒·金尼,弗兰克·格里罗 ",7.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1769852706.jpg,59268
